"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"202009";"202009";"Electrical drive engineering";""
4;"202010";"202010";"Electric power engineering";""
4;"202011";"202011";"Electrical machines";""
4;"202012";"202012";"Electrical measurement technology";""
4;"202013";"202013";"Electromagnetic compatibility";""
4;"202014";"202014";"Electromagnetism";""
4;"202015";"202015";"Electronics";""
4;"202016";"202016";"Electrical engineering";""
4;"202017";"202017";"Embedded systems";""
4;"202018";"202018";"Semiconductor electronics";""
4;"202019";"202019";"High frequency engineering";""
4;"202020";"202020";"High voltage engineering";""
4;"202021";"202021";"Industrial electronics";""
4;"202022";"202022";"Information technology";""
4;"202023";"202023";"Integrated circuits";""
4;"202024";"202024";"Laser technology";""
4;"202025";"202025";"Power electronics";""
4;"202026";"202026";"Light technology";""
4;"202027";"202027";"Mechatronics";""
4;"202028";"202028";"Microelectronics";""
4;"202029";"202029";"Microwave engineering";""
4;"202030";"202030";"Communication engineering";""
4;"202031";"202031";"Network engineering";""
4;"202032";"202032";"Photovoltaics";""
4;"202033";"202033";"Radar technology";""
4;"202034";"202034";"Control engineering";""
4;"202035";"202035";"Robotics";""
4;"202036";"202036";"Sensor systems";""
4;"202037";"202037";"Signal processing";""
4;"202038";"202038";"Telecommunications";""
4;"202039";"202039";"Theoretical electrical engineering";""
4;"202040";"202040";"Transmission technology";""
4;"202041";"202041";"Computer engineering";""
4;"202042";"202042";"Optical communication engineering";""
4;"202043";"202043";"Network security";""
2;"203";"203";"Mechanical Engineering";""
3;"2030";"2030";"Mechanical Engineering";""
4;"203001";"203001";"Apparatus engineering";""
4;"203002";"203002";"Endurance strength";""
4;"203003";"203003";"Fracture mechanics";""
4;"203004";"203004";"Automotive technology";""
4;"203005";"203005";"Precision engineering";""
4;"203006";"203006";"Production engineering";""
4;"203007";"203007";"Strength of materials";""
4;"203008";"203008";"Conveyor technology";""
4;"203009";"203009";"Refrigeration engineering";""
4;"203010";"203010";"Air conditioning technology";""
4;"203011";"203011";"Lightweight design";""
4;"203012";"203012";"Aerospace engineering";""
4;"203013";"203013";"Mechanical engineering";""
4;"203014";"203014";"Machine dynamics";""
4;"203015";"203015";"Mechatronics";""
4;"203016";"203016";"Measurement engineering";""
4;"203017";"203017";"Micromechanics";""
4;"203018";"203018";"Heavy machinery construction";""
4;"203019";"203019";"Reactor technology";""
4;"203020";"203020";"Welding engineering";""
4;"203021";"203021";"Fluid-flow machinery";""
4;"203022";"203022";"Technical mechanics";""
4;"203023";"203023";"Thermal turbomachinery";""
4;"203024";"203024";"Thermodynamics";""
4;"203025";"203025";"Tribology";""
4;"203026";"203026";"Forming";""
4;"203027";"203027";"Internal combustion engines";""
4;"203028";"203028";"Thermal engineering";""
4;"203029";"203029";"Tool construction";""
4;"203030";"203030";"Fuel cell technology";""
4;"203031";"203031";"Engineering design";""
4;"203032";"203032";"Additive manufacturing";""
